traing_id,trading_date,trading_closing_price,trading_volume,trading_opening_price,trading_high_price,trading_low_price,Security_security_id
50021,2023-02-03,169.45,8404900,169.86,171.55,168.49,6
50023,2023-02-06,169.64,7659500,169.56,170.12,167.37,6
50025,2023-02-07,174.09,10256500,170.07,174.39,169.61,6
50027,2023-02-08,170.00,9784700,172.48,174.07,169.47,6
50029,2023-02-09,168.44,10123400,170.23,170.66,168.00,6
50031,2023-02-10,171.97,11602400,170.80,172.73,170.78,6
50033,2023-02-13,171.01,9442900,171.32,171.90,169.77,6
50035,2023-02-14,172.32,8077300,170.48,173.51,169.98,6
50037,2023-02-15,169.01,8885700,169.40,169.52,167.50,6
50039,2023-02-16,166.57,6727500,168.19,168.66,166.40,6
50041,2023-02-17,162.85,9612100,164.73,164.84,161.85,6
50043,2023-02-21,161.00,7259700,162.18,163.75,160.70,6
50045,2023-02-22,160.35,6205900,160.28,161.66,158.91,6
50047,2023-02-23,161.93,6445500,162.25,162.84,160.56,6
50049,2023-02-24,162.41,5330200,160.77,162.60,159.15,6
50051,2023-02-27,162.82,6386800,163.01,163.37,161.92,6
50053,2023-02-28,160.77,10854200,164.32,164.32,160.28,6
50055,2023-03-01,162.05,7470400,160.92,163.59,160.59,6
50057,2023-03-02,162.56,5582000,161.98,163.49,161.59,6
50059,2023-03-03,164.96,6007500,160.87,165.58,160.42,6
50061,2023-03-06,166.17,7703600,164.34,166.80,163.81,6
50063,2023-03-07,164.03,7393000,165.70,166.60,163.58,6
50065,2023-03-08,162.99,5435800,163.23,165.29,161.38,6
50067,2023-03-09,160.51,6214700,163.79,165.49,160.19,6
50069,2023-03-10,159.67,7385800,160.94,164.67,158.67,6
50071,2023-03-13,158.71,10106100,156.44,160.95,153.80,6
50073,2023-03-14,160.76,10035200,158.26,164.02,157.88,6
50075,2023-03-15,153.80,14063100,155.59,157.95,152.01,6
50077,2023-03-16,154.29,12849600,150.16,155.47,149.91,6
50079,2023-03-17,152.34,33161800,153.62,155.38,150.60,6
50081,2023-03-20,154.58,8469200,151.74,155.78,151.29,6
50083,2023-03-21,159.31,9753500,157.16,159.57,156.47,6
50085,2023-03-22,156.07,6315000,159.87,160.06,155.93,6
50087,2023-03-23,154.52,7859400,157.02,158.76,153.14,6
50089,2023-03-24,156.06,6600100,152.10,156.65,151.83,6
50091,2023-03-27,157.65,7006800,157.40,158.48,155.69,6
50093,2023-03-28,159.49,5605400,157.28,160.19,156.68,6
50095,2023-03-29,160.86,7569700,160.62,161.32,159.33,6
50097,2023-03-30,162.39,6322400,162.25,163.01,161.58,6
50099,2023-03-31,163.16,7041400,162.70,163.72,162.15,6
50101,2023-04-03,169.95,12868200,169.80,171.10,168.92,6
50103,2023-04-04,169.04,7521400,171.14,171.14,167.72,6
50105,2023-04-05,169.88,6478100,169.26,170.44,167.74,6
50107,2023-04-06,167.65,5803200,169.35,169.41,167.13,6
50109,2023-04-10,168.29,5923500,168.49,169.68,167.31,6
50111,2023-04-11,169.22,5469600,169.07,170.34,168.07,6
50113,2023-04-12,169.82,6157900,170.45,171.12,169.47,6
50115,2023-04-13,172.09,6856600,170.25,172.47,169.82,6
50117,2023-04-14,172.44,4930700,172.50,172.88,171.22,6
50119,2023-04-17,170.92,7006000,172.39,172.54,170.22,6
50121,2023-04-18,170.52,8045600,170.82,172.39,170.13,6
50123,2023-04-19,170.68,5506800,169.46,170.74,169.10,6
50125,2023-04-20,169.85,5851100,168.76,170.06,168.02,6
50127,2023-04-21,169.12,7179000,169.83,170.59,168.84,6
50129,2023-04-24,171.48,7177600,169.10,172.38,168.58,6
50131,2023-04-25,168.99,5807200,170.32,170.40,168.43,6
50133,2023-04-26,165.98,5927400,168.21,168.95,165.23,6
50135,2023-04-27,166.95,6417200,166.43,167.39,165.07,6
50137,2023-04-28,168.58,10033600,164.50,168.94,164.05,6
50139,2023-05-01,167.24,6099800,167.71,168.73,166.36,6
50141,2023-05-02,160.04,10701700,165.32,165.38,158.45,6
50143,2023-05-03,156.83,7538100,158.15,159.57,156.74,6
50145,2023-05-04,156.22,7500400,157.11,158.20,155.42,6
50147,2023-05-05,160.21,5801500,159.30,161.12,158.78,6
50149,2023-05-08,159.58,5028200,161.57,162.30,159.52,6
50151,2023-05-09,159.12,5019800,158.11,160.42,157.91,6
50153,2023-05-10,157.09,6161200,160.44,160.44,155.88,6
50155,2023-05-11,156.22,6666100,155.38,156.32,153.89,6
50157,2023-05-12,156.62,4897500,157.00,157.93,155.56,6
50159,2023-05-15,157.20,5096700,157.23,158.16,156.23,6
50161,2023-05-16,153.51,7007700,156.48,157.02,153.33,6
50163,2023-05-17,155.71,6169600,154.79,156.42,153.96,6
50165,2023-05-18,154.01,7477700,152.87,154.24,151.53,6
50167,2023-05-19,155.23,8099200,154.89,156.44,153.99,6
50169,2023-05-22,152.44,11661000,153.79,154.83,152.09,6
50171,2023-05-23,156.85,10436200,154.14,157.68,153.84,6
50173,2023-05-24,157.27,7064000,157.95,158.57,156.29,6
50175,2023-05-25,154.56,7037700,154.68,155.63,153.50,6
50177,2023-05-26,154.08,7736200,155.29,155.63,153.46,6
50179,2023-05-30,153.12,7814800,151.67,153.26,151.21,6
50181,2023-05-31,150.62,13346400,151.54,152.42,150.36,6
50183,2023-06-01,152.16,9887700,151.30,153.74,149.74,6
50185,2023-06-02,156.26,9460100,154.58,156.75,153.61,6
50187,2023-06-05,155.51,6443800,158.45,158.45,155.24,6
50189,2023-06-06,155.79,6176400,153.33,156.16,153.20,6
50191,2023-06-07,159.83,9900000,156.55,160.21,156.50,6
50193,2023-06-08,159.24,7142200,160.16,160.49,157.09,6
50195,2023-06-09,158.86,6669500,159.28,160.39,158.62,6
50197,2023-06-12,157.33,7159600,157.06,159.33,156.23,6
50199,2023-06-13,158.51,7660800,158.52,160.58,158.27,6
50201,2023-06-14,157.09,7721100,159.98,160.77,156.15,6
50203,2023-06-15,158.28,7705400,157.32,159.79,157.32,6
50205,2023-06-16,157.26,22908100,158.57,159.24,157.26,6
50207,2023-06-20,153.68,10438700,156.15,156.57,152.24,6
50209,2023-06-21,154.88,7328200,152.67,155.96,152.50,6
50211,2023-06-22,152.64,7088600,153.35,153.59,151.97,6
50213,2023-06-23,151.35,15172700,151.01,151.70,150.13,6
50215,2023-06-26,154.01,7371800,151.62,154.97,151.54,6
50217,2023-06-27,153.53,6581700,153.50,154.71,152.82,6
50219,2023-06-28,154.92,5773800,153.44,155.02,152.19,6
50221,2023-06-29,156.24,5633500,155.43,156.27,154.44,6
50223,2023-06-30,157.35,6346600,157.46,157.92,156.60,6
50225,2023-07-03,157.21,3272600,157.18,158.10,156.70,6
50227,2023-07-05,156.31,6318700,157.70,157.70,155.12,6
50229,2023-07-06,152.88,9203000,155.20,155.83,151.63,6
50231,2023-07-07,154.22,6601300,152.14,155.99,151.96,6
50233,2023-07-10,155.25,5167900,153.93,155.79,153.92,6
50235,2023-07-11,158.12,5061500,156.00,158.41,155.66,6
50237,2023-07-12,159.64,6464000,159.22,160.34,158.33,6
50239,2023-07-13,157.51,8143900,159.84,160.60,156.57,6
50241,2023-07-14,153.58,7051300,157.01,157.02,153.30,6
50243,2023-07-17,153.44,4351700,153.35,154.14,152.64,6
50245,2023-07-18,153.75,6798700,152.67,156.07,152.37,6
50247,2023-07-19,154.69,5653100,153.83,155.78,153.28,6
50249,2023-07-20,156.40,5866600,156.16,157.19,155.71,6
50251,2023-07-21,158.69,8753500,157.53,158.83,157.06,6
50253,2023-07-24,161.82,9722100,160.47,164.04,160.01,6
50255,2023-07-25,162.56,6767600,161.91,163.51,160.66,6
50257,2023-07-26,161.34,6056400,160.88,162.09,160.55,6
50259,2023-07-27,159.66,6470100,162.09,162.47,159.22,6
50261,2023-07-28,158.87,6542300,158.41,159.00,156.51,6
50263,2023-07-31,163.66,13056300,161.13,163.98,160.62,6
50265,2023-08-01,162.30,7531400,163.64,163.64,160.55,6
50267,2023-08-02,159.73,7067100,161.17,161.22,158.06,6
50269,2023-08-03,159.67,6680700,159.91,161.70,158.85,6
50271,2023-08-04,159.31,10182300,160.66,163.02,159.04,6
50273,2023-08-07,159.89,13927400,161.01,161.38,159.08,6
50275,2023-08-08,159.65,6451300,157.94,159.79,156.22,6
50277,2023-08-09,159.86,10531500,160.86,161.44,159.31,6
50279,2023-08-10,160.83,8647100,160.33,162.48,159.62,6
50281,2023-08-11,164.15,6680300,160.50,164.17,160.18,6
50283,2023-08-14,164.03,6060100,163.77,164.25,162.61,6
50285,2023-08-15,159.24,7876500,163.40,163.41,159.10,6
50287,2023-08-16,158.63,7920500,160.52,161.83,158.47,6
50289,2023-08-17,159.75,8270500,159.18,162.14,158.97,6
50291,2023-08-18,160.90,5998600,158.38,161.32,158.16,6
50293,2023-08-21,160.36,6802300,161.20,162.07,159.45,6
50295,2023-08-22,159.04,6081700,160.49,161.25,158.97,6
50297,2023-08-23,159.25,4975600,158.14,159.41,156.70,6
50299,2023-08-24,157.94,5989600,157.73,159.89,157.56,6
50301,2023-08-25,159.12,5291800,159.07,159.91,157.65,6
50303,2023-08-28,160.21,4386100,159.53,161.80,159.22,6
50305,2023-08-29,159.96,5374800,160.91,160.95,159.10,6
50307,2023-08-30,160.18,5534900,160.59,161.25,159.93,6
50309,2023-08-31,161.10,7003700,161.01,161.24,159.93,6
50311,2023-09-01,164.30,6660400,162.64,164.69,162.64,6
50313,2023-09-05,166.46,9755800,165.28,167.56,165.20,6
50315,2023-09-06,166.63,7195500,166.28,167.44,165.58,6
50317,2023-09-07,166.64,7925900,167.14,167.90,166.28,6
50319,2023-09-08,167.21,7434400,167.42,168.49,166.71,6
50321,2023-09-11,163.76,7155100,168.08,168.59,162.87,6
50323,2023-09-12,166.81,7521100,165.30,167.19,165.10,6
50325,2023-09-13,166.20,5759500,167.41,167.75,165.58,6
50327,2023-09-14,167.23,8822800,167.70,168.50,167.12,6
50329,2023-09-15,166.50,17266500,166.21,168.37,165.88,6
50331,2023-09-18,167.22,7027600,167.87,168.36,166.40,6
50333,2023-09-19,167.20,6615100,168.69,168.96,166.43,6
50335,2023-09-20,166.69,5939100,167.07,168.51,166.60,6
50337,2023-09-21,165.19,7150000,167.12,167.87,165.05,6
50339,2023-09-22,166.28,5963000,166.23,167.42,165.94,6
50341,2023-09-25,168.71,5510000,166.33,168.78,165.99,6
50343,2023-09-26,167.80,5659200,167.44,168.41,166.98,6
50345,2023-09-27,171.04,9124400,169.37,171.23,168.81,6
50347,2023-09-28,170.59,7151800,170.55,171.70,169.43,6
50349,2023-09-29,168.62,7395200,170.49,170.50,167.82,6
50351,2023-10-02,166.54,6839600,168.34,168.57,165.23,6
50353,2023-10-03,166.93,6168600,165.92,167.36,165.51,6
50355,2023-10-04,163.04,9664700,164.70,164.98,161.49,6
50357,2023-10-05,163.90,8073000,161.42,164.75,161.39,6
50359,2023-10-06,162.23,10187400,164.31,164.37,158.99,6
50361,2023-10-09,166.72,8183500,166.38,168.19,164.95,6
50363,2023-10-10,166.54,6512900,166.77,167.40,165.68,6
50365,2023-10-11,161.10,12570700,165.07,165.08,160.48,6
50367,2023-10-12,161.23,7397000,163.26,163.26,160.90,6
50369,2023-10-13,164.06,8042800,163.41,164.84,162.30,6
50371,2023-10-16,165.40,5446000,165.34,165.81,163.85,6
50373,2023-10-17,167.59,7538300,164.83,168.20,164.65,6
50375,2023-10-18,168.92,6893500,168.47,169.70,167.58,6
50377,2023-10-19,169.10,6580200,168.70,170.17,167.51,6
50379,2023-10-20,166.83,7457300,168.41,169.10,166.10,6
50381,2023-10-23,160.68,16232400,163.30,164.43,160.25,6
50383,2023-10-24,156.65,17689900,160.89,161.08,156.47,6
50385,2023-10-25,155.87,10502400,156.94,157.41,155.17,6
50387,2023-10-26,154.75,10830400,155.01,155.18,153.63,6
50389,2023-10-27,144.35,24524300,150.72,151.25,143.96,6
50391,2023-10-30,146.09,13857100,145.66,146.44,144.32,6
50393,2023-10-31,145.73,14261300,146.10,146.52,144.23,6
50395,2023-11-01,143.98,10819600,145.98,146.01,143.82,6
50397,2023-11-02,148.76,11099100,144.54,149.00,143.83,6
50399,2023-11-03,147.61,13153000,148.30,148.56,146.15,6
50401,2023-11-06,147.00,10634200,148.73,149.33,146.69,6
50403,2023-11-07,144.41,15054600,145.16,145.61,143.24,6
50405,2023-11-08,142.40,12654100,143.88,144.65,142.25,6
50407,2023-11-09,141.94,10359500,143.05,143.91,141.78,6
50409,2023-11-10,142.95,11988200,143.29,143.44,141.73,6
50411,2023-11-13,144.00,8747700,143.15,144.30,142.85,6
50413,2023-11-14,145.05,11224400,144.48,145.50,143.86,6
50415,2023-11-15,145.56,10052100,144.86,146.64,144.41,6
50417,2023-11-16,141.77,14031300,143.02,143.51,140.74,6
50419,2023-11-17,144.46,11075600,142.95,145.19,142.40,6
50421,2023-11-20,144.38,8062400,144.63,145.69,144.27,6
50423,2023-11-21,144.04,6783300,143.83,144.30,142.70,6
50425,2023-11-22,144.33,7216100,141.74,144.39,140.72,6
50427,2023-11-24,144.90,3861000,144.30,145.94,144.20,6
50429,2023-11-27,144.36,9850800,144.65,144.82,142.85,6
50431,2023-11-28,145.51,9746500,144.78,146.52,144.06,6
50433,2023-11-29,143.91,16417100,146.39,146.49,143.06,6
50435,2023-11-30,143.60,16276000,144.98,146.01,142.03,6
50437,2023-12-01,144.81,11905500,143.49,146.51,142.60,6
50439,2023-12-04,144.87,11842800,144.00,145.70,143.25,6
50441,2023-12-05,142.86,9597600,144.76,145.07,142.63,6
50443,2023-12-06,142.53,18079700,141.90,144.03,141.35,6
50445,2023-12-07,142.42,14786700,143.51,144.01,140.99,6
50447,2023-12-08,144.31,10820300,143.51,144.67,143.12,6
50449,2023-12-11,144.35,9849600,144.84,145.40,143.82,6
50451,2023-12-12,142.50,9863900,143.17,143.59,141.75,6
50453,2023-12-13,144.61,10641300,142.17,144.68,141.65,6
50455,2023-12-14,149.93,14960500,145.85,149.93,145.85,6
50457,2023-12-15,149.35,30848700,147.32,149.82,147.32,6
50459,2023-12-18,149.68,11561700,150.83,152.12,149.32,6
50461,2023-12-19,151.64,8738100,149.96,151.83,149.49,6
50463,2023-12-20,150.25,9370000,152.15,153.06,150.06,6
50465,2023-12-21,150.71,7264700,150.78,150.80,149.22,6
50467,2023-12-22,151.05,6394600,151.74,152.39,150.75,6
50469,2023-12-26,152.41,5165600,152.07,153.01,151.90,6
50471,2023-12-27,151.91,5337200,152.27,152.97,151.34,6
50473,2023-12-28,149.77,8148000,151.18,152.02,149.40,6
50475,2023-12-29,149.16,7653800,150.03,150.23,148.67,6
50477,2024-01-02,149.48,8879700,149.99,151.48,149.24,6
50479,2024-01-03,152.33,10255300,149.39,153.19,148.68,6
50481,2024-01-04,150.66,8220300,153.66,154.35,150.59,6
50483,2024-01-05,150.40,7455100,151.98,152.03,149.83,6
50485,2024-01-08,149.50,10038200,148.42,149.70,146.58,6
50487,2024-01-09,145.70,11784700,149.95,149.95,145.59,6
50489,2024-01-10,144.50,8490400,146.02,146.02,144.11,6
50491,2024-01-11,145.28,8612500,145.56,146.17,144.62,6
50493,2024-01-12,147.27,9382800,147.83,148.50,146.17,6
50495,2024-01-16,143.69,9380400,146.51,146.58,143.58,6
50497,2024-01-17,143.12,8167000,142.42,144.02,142.04,6
50499,2024-01-18,141.82,11187800,143.00,143.19,139.62,6
50501,2024-01-19,142.24,11178900,141.73,142.25,141.01,6
50503,2024-01-22,142.49,9184600,141.91,142.66,140.92,6
50505,2024-01-23,142.09,6767200,141.99,143.33,141.90,6
50507,2024-01-24,144.92,8100000,142.70,144.98,142.22,6
50509,2024-01-25,148.57,9773600,146.22,148.69,145.23,6
50511,2024-01-26,149.14,9151900,148.03,149.26,146.98,6
50513,2024-01-29,149.08,10494800,149.09,149.22,147.11,6
50515,2024-01-30,150.12,9902900,148.18,150.31,147.71,6
50517,2024-01-31,147.43,10428000,150.37,150.38,147.34,6
50519,2024-02-01,147.89,8641100,148.19,149.02,146.52,6
50521,2024-02-02,152.24,12838400,150.86,153.38,149.55,6
