trading_ID,trading_date,trding_closing_price,trading_volume,trading_opening_price,trading_high_price,trading_low_price,Security_security_id
10021,2023-02-03,189.98,232662000,183.95,199,183.69,11
10024,2023-02-06,194.76,186188100,193.01,198.17,189.92,11
10027,2023-02-07,196.81,186010300,196.43,197.5,189.55,11
10030,2023-02-08,201.29,180673600,196.1,203,194.31,11
10033,2023-02-09,207.32,215431400,207.78,214,204.77,11
10036,2023-02-10,196.89,204754100,202.23,206.2,192.89,11
10039,2023-02-13,194.64,172475500,194.42,196.3,187.61,11
10042,2023-02-14,209.25,216455700,191.94,209.82,189.44,11
10045,2023-02-15,214.24,181006400,211.76,214.66,206.11,11
10048,2023-02-16,202.04,229586500,210.78,217.65,201.84,11
10051,2023-02-17,208.31,213738500,199.99,208.44,197.5,11
10054,2023-02-21,197.37,180018600,204.99,209.71,197.22,11
10057,2023-02-22,200.86,191828500,197.93,201.99,191.78,11
10060,2023-02-23,202.07,146360000,203.91,205.14,196.33,11
10063,2023-02-24,196.88,142228100,196.33,197.67,192.8,11
10066,2023-02-27,207.63,161028300,202.03,209.42,201.26,11
10069,2023-02-28,205.71,153144900,210.59,211.23,203.75,11
10072,2023-03-01,202.77,156852800,206.21,207.2,198.52,11
10075,2023-03-02,190.9,181500700,186.74,193.75,186.01,11
10078,2023-03-03,197.79,154193300,194.8,200.48,192.88,11
10081,2023-03-06,193.81,128100100,198.54,198.6,192.3,11
10084,2023-03-07,187.71,148125800,191.38,194.2,186.1,11
10087,2023-03-08,182,151897800,185.04,186.5,180,11
10090,2023-03-09,172.92,170023800,180.25,185.18,172.51,11
10093,2023-03-10,173.44,191488900,175.13,178.29,168.44,11
10096,2023-03-13,174.48,167790300,167.46,177.35,163.91,11
10099,2023-03-14,183.26,143717900,177.31,183.8,177.14,11
10102,2023-03-15,180.45,145995600,180.8,182.34,176.03,11
10105,2023-03-16,184.13,121136800,180.37,185.81,178.84,11
10108,2023-03-17,180.13,133197100,184.52,186.22,177.33,11
10111,2023-03-20,183.25,129684400,178.08,186.44,176.35,11
10114,2023-03-21,197.58,153391400,188.28,198,188.04,11
10117,2023-03-22,191.15,150376400,199.3,200.66,190.95,11
10120,2023-03-23,192.22,144193900,195.26,199.31,188.65,11
10123,2023-03-24,190.41,116312400,191.65,192.36,187.15,11
10126,2023-03-27,191.81,120851600,194.42,197.39,189.94,11
10129,2023-03-28,189.19,98654600,192,192.35,185.43,11
10132,2023-03-29,193.88,123660000,193.13,195.29,189.44,11
10135,2023-03-30,195.28,110252200,195.58,197.33,194.42,11
10138,2023-03-31,207.46,170222100,197.53,207.79,197.2,11
10141,2023-04-03,194.77,169545900,199.91,202.69,192.2,11
10144,2023-04-04,192.58,126463800,197.32,198.74,190.32,11
10147,2023-04-05,185.52,133882500,190.52,190.68,183.76,11
10150,2023-04-06,185.06,123857900,183.08,186.39,179.74,11
10153,2023-04-10,184.51,142154600,179.94,185.1,176.11,11
10156,2023-04-11,186.79,115770900,186.69,189.19,185.65,11
10159,2023-04-12,180.54,150256300,190.74,191.58,180.31,11
10162,2023-04-13,185.9,112933000,182.96,186.5,180.94,11
10165,2023-04-14,185,96438700,183.95,186.28,182.01,11
10168,2023-04-17,187.04,116662200,186.32,189.69,182.69,11
10171,2023-04-18,184.31,92067000,187.15,187.69,183.58,11
10174,2023-04-19,180.59,125732700,179.1,183.5,177.65,11
10177,2023-04-20,162.99,210970800,166.17,169.7,160.56,11
10180,2023-04-21,165.08,123539000,164.8,166,161.32,11
10183,2023-04-24,162.55,140006600,164.65,165.65,158.61,11
10186,2023-04-25,160.67,121999300,159.82,163.47,158.75,11
10189,2023-04-26,153.75,153364100,160.29,160.67,153.14,11
10192,2023-04-27,160.19,127015200,152.64,160.48,152.37,11
10195,2023-04-28,164.31,122515800,160.9,165,157.32,11
10198,2023-05-01,161.83,109015000,163.17,163.28,158.83,11
10201,2023-05-02,160.31,128259700,161.88,165.49,158.93,11
10204,2023-05-03,160.61,119728000,160.01,165,159.91,11
10207,2023-05-04,161.2,95108500,162.71,162.95,159.65,11
10210,2023-05-05,170.06,107440900,163.97,170.79,163.51,11
10213,2023-05-08,171.79,112249400,173.72,173.8,169.19,11
10216,2023-05-09,169.15,88965000,168.95,169.82,166.56,11
10219,2023-05-10,168.54,119840700,172.55,174.43,166.68,11
10222,2023-05-11,172.08,103889900,168.7,173.57,166.79,11
10225,2023-05-12,167.98,157577100,176.07,177.38,167.23,11
10228,2023-05-15,166.35,105592500,167.66,169.76,164.55,11
10231,2023-05-16,166.52,98288800,165.65,169.52,164.35,11
10234,2023-05-17,173.86,125473600,168.41,174.5,167.19,11
10237,2023-05-18,176.89,109520300,174.22,177.06,172.45,11
10240,2023-05-19,180.14,136024200,177.17,181.95,176.31,11
10243,2023-05-22,188.87,132001400,180.7,189.32,180.11,11
10246,2023-05-23,185.77,156952100,186.2,192.96,185.26,11
10249,2023-05-24,182.9,137605100,182.23,184.22,178.22,11
10252,2023-05-25,184.47,96870700,186.54,186.78,180.58,11
10255,2023-05-26,193.17,162061500,184.62,198.6,184.53,11
10258,2023-05-30,201.16,128818700,200.1,204.48,197.53,11
10261,2023-05-31,203.93,150711700,199.78,203.95,195.12,11
10264,2023-06-01,207.52,148029900,202.59,209.8,199.37,11
10267,2023-06-02,213.97,164129000,210.15,217.25,209.75,11
10270,2023-06-05,217.61,151143100,217.8,221.29,214.52,11
10273,2023-06-06,221.31,146911600,216.14,221.91,212.53,11
10276,2023-06-07,224.57,185710800,228,230.83,223.2,11
10279,2023-06-08,234.86,164489700,224.22,235.23,223.01,11
10282,2023-06-09,244.4,199882300,249.07,252.42,242.02,11
10285,2023-06-12,249.83,150337900,247.94,250.97,244.59,11
10288,2023-06-13,258.71,162384300,253.51,259.68,251.34,11
10291,2023-06-14,256.79,170575500,260.17,261.57,250.5,11
10294,2023-06-15,255.9,160171200,248.4,258.95,247.29,11
10297,2023-06-16,260.54,167563700,258.92,263.6,257.21,11
10300,2023-06-20,274.45,165611200,261.5,274.75,261.12,11
10303,2023-06-21,259.46,211797100,275.13,276.99,257.78,11
10306,2023-06-22,264.61,166875900,250.77,265,248.25,11
10309,2023-06-23,256.6,176584100,259.29,262.45,252.8,11
10312,2023-06-26,241.05,179990600,250.07,258.37,240.7,11
10315,2023-06-27,250.21,164968200,243.24,250.39,240.85,11
10318,2023-06-28,256.24,159770800,249.7,259.88,248.89,11
10321,2023-06-29,257.5,131283400,258.03,260.74,253.61,11
10324,2023-06-30,261.77,112267600,260.6,264.45,259.89,11
10327,2023-07-03,279.82,119685900,276.49,284.25,275.11,11
10330,2023-07-05,282.48,131530900,278.82,283.85,277.6,11
10333,2023-07-06,276.54,120332100,278.09,279.97,272.88,11
10336,2023-07-07,274.43,113602000,278.43,280.78,273.77,11
10339,2023-07-10,269.61,119425400,276.47,277.52,265.1,11
10342,2023-07-11,269.79,91972400,268.65,270.9,266.37,11
10345,2023-07-12,271.99,95672100,276.33,276.52,271.46,11
10348,2023-07-13,277.9,112681500,274.59,279.45,270.6,11
10351,2023-07-14,281.38,119771100,277.01,285.3,276.31,11
10354,2023-07-17,290.38,131569600,286.63,292.23,283.57,11
10357,2023-07-18,293.34,112434700,290.15,295.26,286.01,11
10360,2023-07-19,291.26,142355400,296.04,299.29,289.52,11
10363,2023-07-20,262.9,175158300,279.56,280.93,261.2,11
10366,2023-07-21,260.02,161050100,268,268,255.8,11
10369,2023-07-24,269.06,136508500,255.85,269.85,254.12,11
10372,2023-07-25,265.28,112757300,272.38,272.9,265,11
10375,2023-07-26,264.35,95856200,263.25,268.04,261.75,11
10378,2023-07-27,255.71,103697300,268.31,269.13,255.3,11
10381,2023-07-28,266.44,111446000,259.86,267.25,258.23,11
10384,2023-07-31,267.43,84582200,267.48,269.08,263.78,11
10387,2023-08-01,261.07,83166000,266.26,266.47,260.25,11
10390,2023-08-02,254.11,101752900,255.57,259.52,250.49,11
10393,2023-08-03,259.32,97569100,252.04,260.49,252,11
10396,2023-08-04,253.86,99242600,260.97,264.77,253.11,11
10399,2023-08-07,251.45,111097900,251.45,253.65,242.76,11
10402,2023-08-08,249.7,96642200,247.45,250.92,245.01,11
10405,2023-08-09,242.19,101596300,250.87,251.1,241.9,11
10408,2023-08-10,245.34,109498600,245.4,251.8,243,11
10411,2023-08-11,242.65,98866600,241.77,243.79,238.02,11
10414,2023-08-14,239.76,98595300,235.7,240.66,233.75,11
10417,2023-08-15,232.96,88197600,238.73,240.5,232.61,11
10420,2023-08-16,225.6,112484500,228.02,233.97,225.38,11
10423,2023-08-17,219.22,120718400,226.06,226.74,218.83,11
10426,2023-08-18,215.49,135813700,214.12,217.58,212.36,11
10429,2023-08-21,231.28,135702700,221.55,232.13,220.58,11
10432,2023-08-22,233.19,130597900,240.25,240.82,229.55,11
10435,2023-08-23,236.86,101077600,229.34,238.98,229.29,11
10438,2023-08-24,230.04,99777400,238.66,238.92,228.18,11
10441,2023-08-25,238.59,106612200,231.31,239,230.35,11
10444,2023-08-28,238.82,107673700,242.58,244.38,235.35,11
10447,2023-08-29,257.18,134047600,238.58,257.48,237.77,11
10450,2023-08-30,256.9,121988400,254.2,260.51,250.59,11
10453,2023-08-31,258.08,108861700,255.98,261.18,255.05,11
10456,2023-09-01,245.01,132272500,257.26,259.08,242.01,11
10459,2023-09-05,256.49,129469600,245,258,244.86,11
10462,2023-09-06,251.92,116959800,255.14,255.39,245.06,11
10465,2023-09-07,251.49,115312900,245.07,252.81,243.27,11
10468,2023-09-08,248.5,118367700,251.22,256.52,246.67,11
10471,2023-09-11,273.58,174667900,264.27,274.85,260.61,11
10474,2023-09-12,267.48,135999900,270.76,278.39,266.6,11
10477,2023-09-13,271.3,111673700,270.07,274.98,268.1,11
10480,2023-09-14,276.04,107709800,271.32,276.71,270.42,11
10483,2023-09-15,274.39,133422800,277.55,278.98,271,11
10486,2023-09-18,265.28,101543300,271.16,271.44,263.76,11
10489,2023-09-19,266.5,103704000,264.35,267.85,261.2,11
10492,2023-09-20,262.59,122514600,267.04,273.93,262.46,11
10495,2023-09-21,255.7,119531000,257.85,260.86,254.21,11
10498,2023-09-22,244.88,127524100,257.4,257.79,244.48,11
10501,2023-09-25,246.99,104636600,243.38,247.1,238.31,11
10504,2023-09-26,244.12,101993600,242.98,249.55,241.66,11
10507,2023-09-27,240.5,136597200,244.26,245.33,234.58,11
10510,2023-09-28,246.38,117058900,240.02,247.55,238.65,11
10513,2023-09-29,250.22,128346200,250,254.77,246.35,11
10516,2023-10-02,251.6,123810400,244.81,254.28,242.62,11
10519,2023-10-03,246.53,101985300,248.61,250.02,244.45,11
10522,2023-10-04,261.16,129721600,248.14,261.86,247.6,11
10525,2023-10-05,260.05,119159200,260,263.6,256.25,11
10528,2023-10-06,260.53,117947000,253.98,261.65,250.65,11
10531,2023-10-09,259.67,101377900,255.31,261.36,252.05,11
10534,2023-10-10,263.62,122656000,257.75,268.94,257.65,11
10537,2023-10-11,262.99,103706300,266.2,268.6,260.9,11
10540,2023-10-12,258.87,111508100,262.92,265.41,256.63,11
10543,2023-10-13,251.12,102073800,258.9,259.6,250.22,11
10546,2023-10-16,253.92,88917200,250.05,255.4,248.48,11
10549,2023-10-17,254.85,93562900,250.1,257.18,247.08,11
10552,2023-10-18,242.68,125147800,252.7,254.63,242.08,11
10555,2023-10-19,220.11,170772700,225.95,230.61,216.78,11
10558,2023-10-20,211.99,137734000,217.01,218.86,210.42,11
10561,2023-10-23,212.08,150683400,210,216.98,202.51,11
10564,2023-10-24,216.52,118231100,216.5,222.05,214.11,11
10567,2023-10-25,212.42,107065100,215.88,220.1,212.2,11
10570,2023-10-26,205.76,115112600,211.32,214.8,204.88,11
10573,2023-10-27,207.3,94881200,210.6,212.41,205.77,11
10576,2023-10-30,197.36,136448200,209.28,210.88,194.67,11
10579,2023-10-31,200.84,118068300,196.12,202.8,194.07,11
10582,2023-11-01,205.66,121661700,204.04,205.99,197.85,11
10585,2023-11-02,218.51,125987600,212.97,219.2,211.45,11
10588,2023-11-03,219.96,119281000,221.15,226.37,218.4,11
10591,2023-11-06,219.27,117335800,223.98,226.32,215,11
10594,2023-11-07,222.18,116900100,219.98,223.12,215.72,11
10597,2023-11-08,222.11,106584800,223.15,224.15,217.64,11
10600,2023-11-09,209.98,142110500,219.75,220.8,206.68,11
10603,2023-11-10,214.65,130994000,210.03,215.38,205.69,11
10606,2023-11-13,223.71,140447600,215.6,225.4,211.61,11
10609,2023-11-14,237.41,149771600,235.03,238.14,230.72,11
10612,2023-11-15,242.84,150354000,239.29,246.7,236.45,11
10615,2023-11-16,233.59,136816800,239.49,240.88,230.96,11
10618,2023-11-17,234.3,142532800,232,237.39,226.54,11
10621,2023-11-20,235.6,116320100,234.04,237.1,231.02,11
10624,2023-11-21,241.2,122288000,235.04,243.62,233.34,11
10627,2023-11-22,234.21,117950600,242.04,244.01,231.4,11
10630,2023-11-24,235.45,65125200,233.75,238.75,232.33,11
10633,2023-11-27,236.08,112031800,236.89,238.33,232.1,11
10636,2023-11-28,246.72,148549900,236.68,247,234.01,11
10639,2023-11-29,244.14,135401300,249.21,252.75,242.76,11
10642,2023-11-30,240.08,132353200,245.14,245.22,236.91,11
10645,2023-12-01,238.83,121173500,233.14,240.19,231.9,11
10648,2023-12-04,235.58,104099800,235.75,239.37,233.29,11
10651,2023-12-05,238.72,137971100,233.87,246.66,233.7,11
10654,2023-12-06,239.37,126436200,242.92,246.57,239.17,11
10657,2023-12-07,242.64,107142300,241.55,244.08,236.98,11
10660,2023-12-08,243.84,102980100,240.27,245.27,239.27,11
10663,2023-12-11,239.74,97913900,242.74,243.44,237.45,11
10666,2023-12-12,237.01,95328300,238.55,238.99,233.87,11
10669,2023-12-13,239.29,146286300,234.19,240.3,228.2,11
10672,2023-12-14,251.05,160829200,241.22,253.88,240.79,11
10675,2023-12-15,253.5,135720800,251.21,254.13,248.3,11
10678,2023-12-18,252.08,116416500,253.78,258.74,251.36,11
10681,2023-12-19,257.22,106737400,253.48,258.34,253.01,11
10684,2023-12-20,247.14,125097000,256.41,259.84,247,11
10687,2023-12-21,254.5,109594200,251.9,254.8,248.55,11
10690,2023-12-22,252.54,93249800,256.76,258.22,251.37,11
10693,2023-12-26,256.61,86892400,254.49,257.97,252.91,11
10696,2023-12-27,261.44,106494400,258.35,263.34,257.52,11
10699,2023-12-28,253.18,113619900,263.66,265.13,252.71,11
10702,2023-12-29,248.48,100615300,255.1,255.19,247.43,11
10705,2024-01-02,248.42,104654200,250.08,251.25,244.41,11
10708,2024-01-03,238.45,121082600,244.98,245.68,236.32,11
10711,2024-01-04,237.93,102629300,239.25,242.7,237.73,11
10714,2024-01-05,237.49,92379400,236.86,240.12,234.9,11
10717,2024-01-08,240.45,85166600,236.14,241.25,235.3,11
10720,2024-01-09,234.96,96705700,238.11,238.96,232.04,11
10723,2024-01-10,233.94,91628500,235.1,235.5,231.29,11
10726,2024-01-11,227.22,105873600,230.57,230.93,225.37,11
10729,2024-01-12,218.89,122889000,220.08,225.34,217.15,11
10732,2024-01-16,219.91,115355000,215.1,223.49,212.18,11
10735,2024-01-17,215.55,103164400,214.86,215.67,212.01,11
10738,2024-01-18,211.88,108595400,216.88,217.45,208.74,11
10741,2024-01-19,212.19,102095800,209.99,213.19,207.56,11
10744,2024-01-22,208.8,117952500,212.26,217.8,206.27,11
10747,2024-01-23,209.14,106605900,211.3,215.65,207.75,11
10750,2024-01-24,207.83,123369900,211.88,212.73,206.77,11
10753,2024-01-25,182.63,198076800,189.7,193,180.06,11
10756,2024-01-26,183.25,107343200,185.5,186.78,182.1,11
10759,2024-01-29,190.93,125013100,185.63,191.48,183.67,11
10762,2024-01-30,191.59,109982300,195.33,196.36,190.61,11
10765,2024-01-31,187.29,103221400,187,193.97,185.85,11
10768,2024-02-01,188.86,91843300,188.5,189.88,184.28,11
10771,2024-02-02,187.91,109943343,185.04,188.69,182,11
